Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
Mustafizur Rahman,FA1,Bangladesh,F,26,BOWLER,LHB,LEFT ARM Fast Medium,14,68,61,38,"SRH, MI, RR",RR,14,Capped,200,20000000,DC,Sold
Shardul Thakur,FA1,India,MCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,7,16,24,61,"KXIP, RPS, CSK",CSK,16,Capped,200,107500000,DC,Sold
Mark Wood,FA1,England,F,32,BOWLER,RHB,RIGHT ARM Fast,25,57,19,1,CSK,Do No Play,0,Capped,200,75000000,LSG,Sold
Umesh Yadav,FA1,India,VCA,34,BOWLER,RHB,RIGHT ARM Fast,52,75,7,121,"DD, KKR,RCB,DC",DC,0,Capped,200,20000000,KKR,Sold
Yuzvendra Chahal,SP1,India,HCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,0,56,50,114,"MI,RCB",RCB,15,Capped,200,65000000,RR,Sold
Rahul Chahar,SP1,India,RCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,1,6,42,"RPS, MI",MI,11,Capped,75,52500000,PK,Sold
Amit Mishra,SP1,India,HCA,39,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",DC,4,Capped,150,0,UnSold,UnSold
Adil Rashid,SP1,England,F,34,BOWLER,RHB,RIGHT ARM Leg Spin,19,112,68,1,Do No Play,PBKS,1,Capped,200,0,UnSold,UnSold
Imran Tahir,SP1,South Africa,F,43,BOWLER,RHB,RIGHT ARM Leg Spin,20,107,38,59,"DD, RPS, CSK",CSK,1,Capped,200,0,UnSold,UnSold
Kuldeep Yadav,SP1,India,UPCA,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,7,65,23,45,KKR,KKR,0,Capped,100,20000000,DC,Sold
Mujeeb Zadran,SP1,Afghanistan,F,21,BOWLER,RHB,RIGHT ARM Off Spin,1,43,22,19,"KXIP, SRH",SRH,1,Capped,200,0,UnSold,UnSold
Adam Zampa,SP1,Australia,F,29,BOWLER,RHB,RIGHT ARM Leg Spin,0,64,57,14,"RPS, RCB",RCB,0,Capped,200,0,UnSold,UnSold
Dewald Brevis,UBA1,South Africa,F,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,30000000,MI,Sold
Priyam Garg,UBA1,India,UPCA,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,19,SRH,SRH,5,Uncapped,20,2000000,SRH,Sold
Ashwin Hebbar,UBA1,India,ACA,26,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,2000000,DC,Sold
CHari Nishaanth,UBA1,India,TNCA,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,0,CSK,CSK,0,Uncapped,20,2000000,CSK,Sold
Rajat Patidar,UBA1,India,MPCA,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,4,RCB,RCB,4,Uncapped,20,0,UnSold,UnSold
Abhinav Sadarangani,UBA1,India,KSCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,26000000,GT,Sold
Anmolpreet Singh,UBA1,India,PCA,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,1,MI,MI,1,Uncapped,20,2000000,MI,Sold
Rahul Tripathi,UBA1,India,MACA,31,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,62,"RPS, RR, KKR",KKR,17,Uncapped,40,85000000,SRH,Sold
Shahbaz Ahamad,UAL1,India,CAB,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,13,RCB,RCB,11,Uncapped,30,24000000,RCB,Sold
Harpreet Brar,UAL1,India,PCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,10,PBKS,PBKS,7,Uncapped,20,38000000,PK,Sold
Deepak Hooda,UAL1,India,RCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,80,"RR, SRH, PBKS",PBKS,12,Uncapped,40,57500000,LSG,Sold
Sarfaraz Khan,UAL1,India,MCA,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,40,"RCB,PBKS",PBKS,2,Uncapped,20,2000000,DC,Sold
Shahrukh Khan,UAL1,India,TNCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,11,PBKS,PBKS,11,Uncapped,40,90000000,PK,Sold
Shivam Mavi,UAL1,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,26,KKR,KKR,9,Uncapped,40,72500000,KKR,Sold
Kamlesh Nagarkoti,UAL1,India,RCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,11,KKR,KKR,1,Uncapped,40,11000000,DC,Sold
